nombre_normalizado,veredicto,categoria,metodo,razon
interpretacion en canto,INCLUIR,Interpretación musical,llm,Programa centrado en la interpretación vocal.
interpretacion superior en direccion coral,INCLUIR,Interpretación musical,llm,"Enseña dirección y interpretación coral, actividad musical."
interpretacion superior mencion canto,INCLUIR,Interpretación musical,llm,Especialidad en interpretación vocal.
interprete en canto popular,INCLUIR,Interpretación musical,llm,Formación para interpretar canto popular.
interprete instrumental,INCLUIR,Interpretación musical,llm,Enseña interpretación de instrumentos musicales.
interprete instrumental mencion (instrumento popular),INCLUIR,Interpretación musical,llm,Especialización en interpretación de instrumentos populares.
licenciatura en artes con mencion en composicion,INCLUIR,Composición y arreglos,llm,"Mención de composición, área claramente musical."
licenciatura en artes con mencion en sonido,INCLUIR,Producción musical y sonido,llm,"Enfoque en sonido, vinculado a la producción musical."
"licenciatura en artes con, mencion composicion",INCLUIR,Composición y arreglos,llm,Mención de composición indica estudio musical.
licenciatura en artes mencion sonido,INCLUIR,Producción musical y sonido,llm,"Se refiere a sonido, parte de la disciplina musical."
"licenciatura en artes, mencion sonido",INCLUIR,Producción musical y sonido,llm,"Mención en sonido, relacionado con la música y su producción."
licenciatura en composicion,INCLUIR,Composición y arreglos,llm,Programa dedicado a la composición musical.
magister en artes mencion musicologia,ERROR,,llm,Categoría fuera de las 9 del dominio para INCLUIR: 'Musicología e investigación'
"magister en artes, mencion musicologia",ERROR,,llm,Categoría fuera de las 9 del dominio para INCLUIR: 'Musicología e investigación'
magister en composicion para artes escenicas y medios audiovisuales,INCLUIR,Composición y arreglos,llm,Formación en composición musical para artes escénicas y audiovisual.
magister en direccion de orquestas juveniles e infantiles,INCLUIR,Interpretación musical,llm,Dirigir orquestas implica entrenamiento musical y de interpretación.
magister en gestion cultural,DUDOSO,,llm,No queda claro si la gestión cultural se centra en la música o en otras expresiones.
magister en gestion cultural aplicada,DUDOSO,,llm,La descripción es ambigua respecto a su vínculo con la música.
magister en musicologia latinoamericana,INCLUIR,"Teoría, musicología e investigación",llm,"El programa se centra en la musicología, disciplina propia de la investigación musical."
magister en patrimonio y gestion cultural,EXCLUIR,,llm,"El programa aborda gestión cultural y patrimonio, sin referencia explícita a la música."
musico mencion direccion y gestion en conjunto y bandas instrumentales juveniles,INCLUIR,Gestión cultural,llm,"Incluye la dirección y gestión de bandas instrumentales, lo que implica actividad musical."
musico-terapia,INCLUIR,Musicoterapia,llm,Nombre indica claramente que es un programa de musicoterapia.
"postitulo en terapias de arte, mencion musicoterapia",INCLUIR,Musicoterapia,llm,Mención específica a musicoterapia dentro de terapias de arte.
profesor de piano/violin/viola/violoncello/contrabajo/guitarra clasica/flauta traversa/oboe/clarinete/fagot/corno/trombon/trompeta etapa basica y media,INCLUIR,Pedagogía en música,llm,Programa de formación de docentes para múltiples instrumentos musicales.
sonido,DUDOSO,,llm,El término es muy amplio; podría referirse a producción de sonido o a otro contexto no musical.
sonido profesional,DUDOSO,,llm,"Aunque sugiere producción de sonido, la falta de información concreta impide decidir con certeza."
taller de lutheria artistica,INCLUIR,Otros,llm,La luthería está directamente vinculada a la construcción y reparación de instrumentos musicales.
tecnico de nivel superior en sonido,INCLUIR,Producción musical y sonido,llm,"Título indica formación técnica en el ámbito del sonido, relacionado con la producción musical."
tecnico de nivel superior universitario en sonido,INCLUIR,Producción musical y sonido,llm,"Formación técnica universitaria enfocada en sonido, área musical."
tecnico en arte y gestion cultural,EXCLUIR,,llm,El programa se centra en arte y gestión cultural sin mención explícita de música.
tecnico en artes y gestion cultural,EXCLUIR,,llm,"Al igual que el anterior, no indica contenido musical."
tecnico en sonido,INCLUIR,Producción musical y sonido,llm,"Formación técnica orientada al sonido, relevante para la producción musical."
tecnico/a en interprete instrumental mencion (instrumento popular),INCLUIR,Interpretación musical,llm,Entrenamiento para la interpretación de instrumentos populares.
tecnologia en sonido,INCLUIR,Producción musical y sonido,llm,"Enfoque tecnológico sobre sonido, vinculado a la producción y gestión sonora musical."
tecnologia en sonido e iluminacion,INCLUIR,Producción musical y sonido,llm,Incluye sonido como componente principal; la iluminación es complementaria en áreas de producción.
