tipo,nombre_normalizado,veredicto,categoria,metodo,razon
red,pedagogia en educacion media en artes visuales,EXCLUIR,,llm,"El programa se centra en artes visuales, no en música."
red,pedagogia en teoria e historia del arte y diseno,EXCLUIR,,llm,"Enfocado en teoría e historia del arte y diseño, sin referencia a música."
red,pedagogia media en artes visuales,EXCLUIR,,llm,"Programa de artes visuales, no musical."
red,pedagogia y licenciatura en artes,EXCLUIR,,llm,Artes sin especificar música; parece referirse a artes visuales o plásticas.
red,pet de danza,EXCLUIR,,llm,"Se trata de danza, no de música."
red,plan especial pedagogia y licenciatura en artes visuales,EXCLUIR,,llm,"Artes visuales, no música."
red,programa de pedagogia en educacion media en artes visuales,EXCLUIR,,llm,Programa centrado en artes visuales.
red,programa especial de titulacion pedagogia media en artes visuales,EXCLUIR,,llm,"Enfocado en artes visuales, no en música."
red,prosecucion de estudios licenciatura en educacion y pedagogia en artes escenicas con mencion en danza o teatro,EXCLUIR,,llm,"Artes escénicas con énfasis en danza o teatro, sin mención a música."
control,diplomado en implementacion y auditoria interna de sistemas integrados de gestion,EXCLUIR,,llm,"Programa de gestión y auditoría, no relacionado con música."
control,magister en gestion y desarrollo regional y local,EXCLUIR,,llm,"Programa de gestión regional, sin vínculo con la música."
control,diplomado en gestion de creatividad innovacion y emprendimiento para profesores de ensenanza tecnico profesional,EXCLUIR,,llm,"Enfocado en gestión de creatividad y emprendimiento, no trata temas musicales."
control,ingenieria comercial mencion gestion,EXCLUIR,,llm,"Programa de ingeniería comercial, sin relación con música."
control,programa de especializacion en enfermeria en cuidados intensivos del nino,EXCLUIR,,llm,"Especialización en enfermería, no musical."
control,tecnologia en administracion de empresas mencion marketing,EXCLUIR,,llm,"Formación en administración y marketing, sin contenido musical."
control,teatro profesional,EXCLUIR,,llm,"Programa de teatro; aunque relacionado con artes escénicas, no incluye música como objeto de estudio."
control,ingenieria en automatizacion y control industrial (pce),EXCLUIR,,llm,"Ingeniería de automatización, fuera del ámbito musical."
control,administracion de empresas turisticas mencion turismo aventura,EXCLUIR,,llm,"Enfocado en turismo y gestión empresarial, sin vínculo musical."
control,diplomado en discapacidad e inclusion,EXCLUIR,,llm,"Temática de discapacidad e inclusión, no relacionada con música."
control,diplomado en gestion estrategica de org,EXCLUIR,,llm,"Gestión estratégica organizacional, fuera del dominio musical."
control,magister en clinica relacional con ninos ninas y adolescentes,EXCLUIR,,llm,"Programa de clínica relacional, no aborda la música."
control,diplomado en funcionalidad y envejecimiento,EXCLUIR,,llm,"Enfoque en salud y envejecimiento, sin relación con la música."
control,tecnico de nivel superior en educacion diferencial e inclusion,EXCLUIR,,llm,"Formación en educación diferencial, no trata contenidos musicales."
control,auditoria plan especial,EXCLUIR,,llm,"Referencia a auditoría, no es programa musical."
control,tecnico universitario interprete ingles-espanol,EXCLUIR,,llm,"Formación de interpretación lingüística, no de interpretación musical."
control,magister en gestion de comunidades digitales,EXCLUIR,,llm,"El programa se enfoca en gestión de comunidades digitales, no en música."
control,gastronomia internacional y tradicional chilena,EXCLUIR,,llm,"El programa trata sobre gastronomía, sin relación con la música."
control,postitulo en ensenanza de las matematicas,EXCLUIR,,llm,"El objeto de estudio es la enseñanza de matemáticas, no musical."
control,ingenieria en redes y comunicaciones,EXCLUIR,,llm,"Se trata de una ingeniería de redes, sin vínculo con la música."
control,master en gestion y politicas publicas,EXCLUIR,,llm,"El programa aborda gestión y políticas públicas, no música."
control,pce ingenieria en construccion,EXCLUIR,,llm,"Es una ingeniería de construcción, fuera del ámbito musical."
control,plan especial ingenieria en informatica,EXCLUIR,,llm,"Programa de ingeniería informática, no relacionado con música."
control,diplomado en dermatocosmiatria,EXCLUIR,,llm,"Área de salud dermatológica, sin contenido musical."
control,magister en salud mental y psiquiatria comunitaria,EXCLUIR,,llm,"Enfocado en salud mental y psiquiatría, no en música."
control,diplomado en estadistica mencion mineria de datos,EXCLUIR,,llm,"Programa de estadística y minería de datos, no musical."
control,magister en derecho de mineria,EXCLUIR,,llm,"Derecho minero, sin relación con la música."
control,magister en comprension lectora y produccion de textos,EXCLUIR,,llm,"Se centra en comprensión lectora y producción textual, no en música."
control,tecnico de nivel superior en redes y telecomunicaciones,EXCLUIR,,llm,"Formación técnica en redes y telecomunicaciones, fuera del ámbito musical."
control,diplomado en operaciones logisticas y cadena de suministros,EXCLUIR,,llm,"Enfocado en logística y cadena de suministros, sin vínculo musical."
control,magister en estudios clasicos mencion lengua griega y latina (plan parcial),EXCLUIR,,llm,"Programa de estudios clásicos, no trata sobre música."
control,diploma de desarrollo profesional y laboral en inteligencia artificial para comunicadores,EXCLUIR,,llm,"Inteligencia artificial aplicada a la comunicación, no a la música."
control,pedagogia en matematica en educacion media,EXCLUIR,,llm,"Pedagogía de matemáticas, sin referencia a la música."
control,"pedagogia en educacion fisica, deportes y recreacion damas",EXCLUIR,,llm,"Formación en educación física y deportes, no musical."
control,tecnico en administracion (modulos),EXCLUIR,,llm,"Programa técnico de administración, fuera del ámbito musical."
control,programa de formacion de especialista en ortodoncia y ortopedia dento maxilofacial,EXCLUIR,,llm,"Especialidad odontológica, sin relación con la música."
control,diplomado en estrategia y gestion de la propiedad intelectual e innovacion,EXCLUIR,,llm,"Enfocado en propiedad intelectual e innovación, no en música."
control,postitulo en estudio y comprension de la naturaleza,EXCLUIR,,llm,Programa de estudio de la naturaleza; no aborda la música.
control,tourism and hospitality,EXCLUIR,,llm,"Formación en turismo y hospitalidad, sin vínculo musical."
control,diplomado en hemodialisis,EXCLUIR,,llm,"Especialidad médica de hemodiálisis, no musical."
control,programa de formacion pedagogica en ensenanza media menciones: ingles/ historia y ciencias sociales/ artes visuales/ religion/ lenguaje y comunicacion/ quimica/fisica/ matematica/ filosofia,EXCLUIR,,llm,"Programa pedagógico con menciones variadas, pero ninguna corresponde a música."
control,tecnologia en alimentos,EXCLUIR,,llm,"El programa se enfoca en alimentos, sin relación con la música."
control,postitulo en especialidad en radiologia,EXCLUIR,,llm,"Es una especialidad médica de radiología, no aborda la música."
control,licenciatura en ciencias forenses y seguridad integral,EXCLUIR,,llm,"Programa de ciencias forenses, no tiene vínculo con la música."
control,programa de especialidad medica en traumatologia y ortopedia,EXCLUIR,,llm,"Especialidad médica de traumatología, sin contenido musical."
control,tecnico en traduccion espanol-mapuzungun-espanol,EXCLUIR,,llm,"Formación en traducción, no está relacionado con la música."
control,diploma de postitulo en alergias alimentarias que debemos saber hoy para su diagnostico y manejo,EXCLUIR,,llm,"Enfoque en alergias alimentarias, fuera del ámbito musical."
control,ingenieria de ejecucion comercio internacional y negocios internacionales (curriculum internacional) (espanol o bilingue),EXCLUIR,,llm,"Programa de comercio e ingeniería, sin relación con la música."
control,diplomado en liderazgo y coaching para el cambio,EXCLUIR,,llm,"Se trata de liderazgo y coaching, no de estudio musical."
control,diplomado de terapia ocupacional en lesiones y patologias de mano,EXCLUIR,,llm,"Enfocado en terapia ocupacional de la mano, no es un programa musical."
