nombre_normalizado,veredicto,categoria,metodo,razon
"postitulo en terapias de arte, mencion musicoterapia",INCLUIR,Musicoterapia,llm,Postgrado que incluye entrenamiento en musicoterapia
profesor de piano/violin/viola/violoncello/contrabajo/guitarra clasica/flauta traversa/oboe/clarinete/fagot/corno/trombon/trompeta etapa basica y media,INCLUIR,Pedagogía en música,llm,Capacitación docente en interpretación instrumental
sonido,DUDOSO,,llm,"Nombre genérico, no claro si se centra en música"
sonido profesional,INCLUIR,Producción musical y sonido,llm,Enfoque en producción de audio para ámbitos musicales
taller de lutheria artistica,INCLUIR,Producción musical y sonido,llm,Elaboración artesanal de instrumentos musicales
tecnico de nivel superior en sonido,INCLUIR,Producción musical y sonido,llm,Formación técnica para producción sonora en música
tecnico de nivel superior universitario en sonido,INCLUIR,Producción musical y sonido,llm,Programa técnico universitario enfocado a la producción musical
tecnico en arte y gestion cultural,DUDOSO,,llm,"Enfoque general de gestión cultural, no especifica música"
tecnico en artes y gestion cultural,DUDOSO,,llm,Enfoque amplio sin indicio de especialización musical
tecnico en sonido,INCLUIR,Producción musical y sonido,llm,Técnico orientado a la producción de audio para música
tecnico/a en interprete instrumental mencion (instrumento popular),INCLUIR,Interpretación musical,llm,Capacitación práctica como intérprete de instrumentos populares
tecnologia en sonido,INCLUIR,Producción musical y sonido,llm,"Tecnología aplicada a la producción sonora, habitualmente usada en música"
tecnologia en sonido e iluminacion,DUDOSO,,llm,Combina sonido e iluminación; no se sabe si el enfoque principal es musical
