tipo,nombre_normalizado,veredicto,categoria,metodo,razon
control,magister en clinica relacional con ninos ninas y adolescentes,EXCLUIR,,llm,"Especialización clínica, sin relación musical."
control,diplomado en funcionalidad y envejecimiento,EXCLUIR,,llm,Programa de geriatría; no cubre estudios musicales.
control,tecnico de nivel superior en educacion diferencial e inclusion,EXCLUIR,,llm,"Educación diferencial, sin mención a la música."
control,auditoria plan especial,EXCLUIR,,llm,Programa de auditoría; no tiene contenido musical.
control,tecnico universitario interprete ingles-espanol,EXCLUIR,,llm,"Interpretes lingüísticos, sin referencia a la música."
control,magister en gestion de comunidades digitales,EXCLUIR,,llm,No es un programa relacionado con la música.
control,gastronomia internacional y tradicional chilena,EXCLUIR,,llm,"Enseñanza gastronómica, no musical."
control,postitulo en ensenanza de las matematicas,EXCLUIR,,llm,"Se enfoca en matemáticas, no música."
control,ingenieria en redes y comunicaciones,EXCLUIR,,llm,"Programa técnico en ingeniería, no musical."
control,master en gestion y politicas publicas,EXCLUIR,,llm,No se trata de música.
control,pce ingenieria en construccion,EXCLUIR,,llm,"Ingeniería civil, no musical."
control,plan especial ingenieria en informatica,EXCLUIR,,llm,"Enfoque informático, no musical."
control,diplomado en dermatocosmiatria,EXCLUIR,,llm,"Programa de dermatología, no música."
control,magister en salud mental y psiquiatria comunitaria,EXCLUIR,,llm,"Salud mental, no musical."
control,diplomado en estadistica mencion mineria de datos,EXCLUIR,,llm,"Estadística aplicada, no música."
control,magister en derecho de mineria,EXCLUIR,,llm,"Derecho minero, no musical."
control,magister en comprension lectora y produccion de textos,EXCLUIR,,llm,"Literatura/tecnología textual, no música."
control,tecnico de nivel superior en redes y telecomunicaciones,EXCLUIR,,llm,"Técnico en telecomunicaciones, no musical."
control,diplomado en operaciones logisticas y cadena de suministros,EXCLUIR,,llm,"Logística empresarial, no música."
control,magister en estudios clasicos mencion lengua griega y latina (plan parcial),EXCLUIR,,llm,"Estudios clásicos, no musical."
control,diploma de desarrollo profesional y laboral en inteligencia artificial para comunicadores,EXCLUIR,,llm,"Enfoque tecnológico/communication, no música."
control,pedagogia en matematica en educacion media,EXCLUIR,,llm,"Pedagogía matemática, no musical."
control,"pedagogia en educacion fisica, deportes y recreacion damas",EXCLUIR,,llm,"Educación física, no música."
control,tecnico en administracion (modulos),EXCLUIR,,llm,"Administración, no musical."
control,programa de formacion de especialista en ortodoncia y ortopedia dento maxilofacial,EXCLUIR,,llm,"Especialidad odontológica, no música."
control,diplomado en estrategia y gestion de la propiedad intelectual e innovacion,EXCLUIR,,llm,"Gestión de PI, no musical."
control,postitulo en estudio y comprension de la naturaleza,EXCLUIR,,llm,"Estudio de la naturaleza, no música."
control,tourism and hospitality,EXCLUIR,,llm,"Turismo/hospitalidad, no musical."
control,diplomado en hemodialisis,EXCLUIR,,llm,"Procedimiento clínico, no música."
control,programa de formacion pedagogica en ensenanza media menciones: ingles/ historia y ciencias sociales/ artes visuales/ religion/ lenguaje y comunicacion/ quimica/fisica/ matematica/ filosofia,EXCLUIR,,llm,Enseñanza media sin mención a música.
control,tecnologia en alimentos,EXCLUIR,,llm,No tiene relación con la música.
control,postitulo en especialidad en radiologia,EXCLUIR,,llm,No se enfoca en estudios musicales.
control,licenciatura en ciencias forenses y seguridad integral,EXCLUIR,,llm,"Centra sus contenidos en ciencias forenses, no música."
control,programa de especialidad medica en traumatologia y ortopedia,EXCLUIR,,llm,"Es una especialidad médica, no musical."
control,tecnico en traduccion espanol-mapuzungun-espanol,EXCLUIR,,llm,"Enseña traducción, sin vínculo con la música."
control,diploma de postitulo en alergias alimentarias que debemos saber hoy para su diagnostico y manejo,EXCLUIR,,llm,"Focaliza en alergias, no en estudios musicales."
control,ingenieria de ejecucion comercio internacional y negocios internacionales (curriculum internacional) (espanol o bilingue),EXCLUIR,,llm,"Enseña ingeniería/comercio, sin contenido musical."
control,diplomado en liderazgo y coaching para el cambio,EXCLUIR,,llm,"Orientado al liderazgo, no a la música."
control,diplomado de terapia ocupacional en lesiones y patologias de mano,EXCLUIR,,llm,"Es un programa de terapia ocupacional, no musical."
